time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2022-01-07 01:37:31+00,46059,971.143,971.143,7jan,54.4012,19,1,1089.18,14.9402,1,-,2,true,false,85.4287,Distraction:19
2022-01-07 01:37:01+00,76215,1283.1,1283.1,7jan,87.0949,24,16,1074.24,-10.7687,0,2.Bh6+,4,true,false,87.8948,"X-Ray Attack:6,Clearance:5,Exposed King:5,Attraction:5,Sacrifice:5,X-Ray:4,Attraction:3,Sacrifice:3,Rank Clearance:3"
2022-01-07 01:36:30+00,61556,1643.3,1643.3,7jan,179.213,10,1,1085.01,-1.88961,0,2.Qxg6+,2,false,false,90.0246,"Sacrifice:11,Distraction:11,Mate Threat:7,Overloading:6"
2022-01-07 01:36:12+00,77044,1067.89,1067.89,7jan,89.685,25,8,1086.9,-27.3672,0,2...Qg3,4,true,false,91.8617,"Sacrifice:7,Exposed King:6,Pin:4,Attraction:4,Coercion:4"
2022-01-07 01:35:41+00,78387,1233.04,1233.04,7jan,155.284,38,3,1114.27,36.8518,1,-,3,true,false,95.1558,"Sacrifice:5,Clearance:5,Distraction:5,Overloading:4"
2022-01-07 01:34:55+00,57594,1614.5,1614.5,7jan,335.181,15,0,1077.42,-2.52837,0,1.Nxg7,3,false,false,98.2197,"Fork:9,Clearance:7,Exposed King:7,Capturing Defender:7,Mate Threat:6,Sacrifice:6,Needs Different Opponent Move...:5,Sacrifice:4,Diagonal Clearance:4,Trapped Piece:4,Multiple Attack:1,Multiple Attack:1,Royal Fork:1,Royal Fork:1,Removing the Guard:1,Demolition Sacrifice:1,Demolition Sacrifice:1,Attraction:1,Fork:1"
2022-01-07 01:34:30+00,169956,1371.33,1371.33,7jan,110.767,13,0,1079.95,-9.53668,0,1.Qg2,3,false,false,100.224,"Fork:10,Mate Threat:9,Sacrifice:8,Clearance:7,File Clearance:1,Multiple Attack:1"
2022-01-07 01:34:11+00,90228,853.25,853.25,7jan,29.8979,9,0,1089.49,13.1389,1,-,1,true,false,102.6,Back Rank Mate:4
2022-01-07 01:33:53+00,37511,1279.65,1279.65,7jan,88.4236,19,0,1076.35,-16.3531,0,1.Rxe8+,4,true,false,105.745,"Sacrifice:6,Exposed King:6"
2022-01-07 01:33:23+00,158294,1048.03,1048.03,7jan,60.198,7,0,1092.7,-42.8564,0,1.Kxg2,2,true,false,109.646,"Discovered Attack:4,Sacrifice:4,Back Rank Mate:4"
2022-01-07 01:33:11+00,99102649,1082.37,1082.37,7jan,60.8384,22,1,1135.56,36.2283,1,-,2,false,false,115.102,"Discovered Attack:4,Unpinning:2,Discovery:2,Sacrifice:1"
2022-01-07 01:32:39+00,44281,1292.02,1292.02,7jan,49.5825,5,0,1099.33,-23.4349,0,1.Qh6,4,true,false,121.954,"Sacrifice:8,Attraction:6,Opera Mate:5,Clearance:4"
2022-01-07 01:32:24+00,42458,1613.22,1613.22,7jan,165.625,12,0,1122.76,-5.56639,0,1.bxc3,5,true,false,128.372,"Sacrifice:8,Pin:6,Clearance:5,Exposed King:4,Sacrifice:3,Vertical Battery:3,File Clearance:3,Demolition Sacrifice:3"
2022-01-07 01:28:22+00,56956787,1452.44,1452.44,7jan,130.473,30,14,1128.33,90.3353,1,-,4,false,false,130.99,"Zwischenzug:5,Distraction:3,Exposed King:3,Attraction:2"
2022-01-07 01:27:48+00,74074,927.895,927.895,7jan,59.1009,6,1,1037.99,41.5609,1,-,2,false,false,133.961,"Discovered Attack:15,Sacrifice:5"
2022-01-07 01:27:38+00,3154,650.212,650.212,7jan,20.9591,9,0,996.43,15.657,1,-,1,true,false,144.685,"Back Rank Mate:10,Hanging Piece:4,Distraction:1"
2022-01-07 01:27:19+00,89279,1860.48,1860.48,7jan,802.81,12,0,980.773,-0.86872,0,1.e7,6,true,false,150.703,"Advanced Pawn:9,Back Rank Mate:5,Distraction:5,Needs Different Opponent Move...:5,Quiet Move:4,Exposed King:3"
2022-01-07 01:26:54+00,94094,1240.12,1240.12,7jan,67.0354,23,0,981.642,-28.6285,0,1.Qh7+,2,true,false,153.778,"Attraction:16,Pin:15,Sacrifice:9,Exposed King:7,Damiano's Bishop Mate:1,Queen and Knight Mate:1"
2022-01-07 01:26:21+00,91258526,1420.54,1420.54,7jan,203.111,31,0,1010.27,-14.5642,0,1...Rd2+,3,false,false,164.866,"Skewer:3,Exposed King:2,Distraction:1"
2022-01-07 01:25:41+00,74038048,1669.89,1669.89,7jan,604.829,58,37,1024.83,172.025,1,-,7,false,false,171.506,"Skewer:2,Sacrifice:1,Attraction:1,Mate Threat:1"
2022-01-07 01:24:33+00,77073,1776.74,1776.74,7jan,455.486,78,6,852.809,-0.909011,0,3.Qxa8,4,true,false,175.006,"Sacrifice:12,Exposed King:10,Attraction:9,Zwischenzug:3"
